link_id,from_node,to_node,u_osm,v_osm,edge_key,osm_way,name,highway,oneway,length_m,lanes,maxspeed,ref,access,bridge,tunnel,geometry,odbc,od_eff_loss,lscc_loss,td_loss,reachable_demand_share,odbc_rank,odbc_pct,od_eff_rank,od_eff_pct,lscc_rank,lscc_pct,td_rank,td_pct
1665,1005,1485,1636685526,6528712271,0,150792158,京士柏道 King's Park Rise,residential,False,261.999,,,,,,,"LINESTRING (114.175009 22.311195, 114.17476 22.311216, 114.174702 22.31122, 114.174688 22.311223, 114.17456 22.311246, 114.174296 22.311381, 114.174201 22.311413, 114.174145 22.311422, 114.174083 22.311422, 114.174028 22.311416, 114.173987 22.311402, 114.173846 22.311339, 114.173718 22.311257, 114.173603 22.311157, 114.17333 22.310952, 114.1728 22.3106)",0.004814640600142945,0.00229726485120379,0.0006476683937823658,0.0148295049083427,0.9951853593998568,1504,0.4720954720954721,410,0.8564408564408564,572,0.7032292032292032,168,0.941031941031941
1666,1006,1005,1636685557,1636685526,0,150792154,京士柏山道 King's Park Hill Road,residential,False,112.806,,,,,,,"LINESTRING (114.17436 22.311873, 114.174339 22.311844, 114.174327 22.311812, 114.174322 22.311778, 114.174323 22.311744, 114.174331 22.311711, 114.174347 22.31168, 114.174388 22.311625, 114.174436 22.311574, 114.174489 22.31153, 114.174548 22.311491, 114.174612 22.311459, 114.174888 22.311351, 114.174945 22.31131, 114.174986 22.311256, 114.174996 22.311236, 114.175003 22.311216, 114.175009 22.311195)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1667,1007,1688,1636685662,12153036710,0,150792150,真義里 Chun Yi Lane,residential,False,157.484,,,,,,,"LINESTRING (114.172216 22.314068, 114.172279 22.314029, 114.172289 22.314022, 114.17241 22.313936, 114.172502 22.313853, 114.17262 22.313738, 114.172748 22.313612, 114.172906 22.313448, 114.173193 22.313128, 114.173225 22.31309, 114.173266 22.313044)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1668,1007,3,1636685662,33004488,0,1200878753;1450850067,窩打老道 Waterloo Road,primary,True,209.08,3,,,,,,"LINESTRING (114.172216 22.314068, 114.172144 22.313964, 114.172121 22.31393, 114.172052 22.31384, 114.171833 22.313561, 114.171748 22.313453, 114.171688 22.313374, 114.171646 22.313318, 114.1716 22.313257, 114.171526 22.313186, 114.171473 22.313141, 114.171412 22.313105, 114.171353 22.31308, 114.171295 22.313065, 114.171154 22.313038, 114.170882 22.312992, 114.170853 22.312988, 114.17072 22.312965)",0.04889045577161222,0.002312228689249521,0.0012953367875647315,0.0056673351702536505,0.9998017079098439,34,0.9884169884169884,406,0.8578448578448579,360,0.836960336960337,389,0.8638118638118638
1669,1008,1009,1636685663,1636685664,0,150792153,咸美頓街 Hamilton Street,residential,False,35.266000000000005,2,,,,,,"LINESTRING (114.170399 22.31457, 114.170486 22.314586, 114.170735 22.314631)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1670,1008,94,1636685663,308473420,0,1200878750;1200878751,彌敦道 Nathan Road,primary,True,75.56400000000001,3,,,,,,"LINESTRING (114.170399 22.31457, 114.170408 22.314524, 114.170466 22.314232, 114.170516 22.313976, 114.17053 22.313901)",0.04085329116377852,0.006301483344886188,0.004533678756476684,0.025250138905848235,0.9924604395633512,75,0.974025974025974,90,0.9687609687609687,45,0.9794664794664795,67,0.9768339768339769
1671,1009,1008,1636685664,1636685663,0,150792153,咸美頓街 Hamilton Street,residential,False,35.266000000000005,2,,,,,,"LINESTRING (114.170735 22.314631, 114.170486 22.314586, 114.170399 22.31457)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1672,1010,1568,1636768897,7560529772,0,492704915;102506140,上海街 Shanghai Street,secondary,True,72.97800000000001,3,,,,,,"LINESTRING (114.169953 22.31009, 114.169983 22.309938, 114.17 22.309853, 114.170026 22.309701, 114.170034 22.30955, 114.170062 22.309443)",0.021010987091759813,0.0004934185403014442,0.0,0.0008684830907949192,1.0,449,0.8427518427518428,1199,0.5795015795015795,1122,0.3034398034398034,1201,0.5787995787995788
1673,1010,944,1636768897,1624950144,0,441937730,眾坊街 Public Square Street,tertiary,True,52.29,1,,,,,,"LINESTRING (114.169953 22.31009, 114.169878 22.310076, 114.169585 22.310027, 114.16954 22.310032, 114.169508 22.310052, 114.16948 22.31009)",0.0021274397657237666,8.631801878655168e-05,0.0,0.00011094339378484299,1.0,1893,0.3359073359073359,1919,0.32678132678132676,1122,0.3034398034398034,1974,0.3074763074763075
1674,1011,560,1636768900,991295126,0,101166569,廟街 Temple Street,residential,True,69.346,,,,,,,"LINESTRING (114.17042 22.310178, 114.170301 22.310792)",8.004752883058802e-05,9.755943063165881e-06,0.0,1.2474834169405928e-05,1.0,2454,0.138996138996139,2301,0.1926991926991927,1122,0.3034398034398034,2352,0.1747981747981748
1675,1011,1010,1636768900,1636768897,0,888280008,眾坊街 Public Square Street,tertiary,True,48.998000000000005,3,,,,,,"LINESTRING (114.17042 22.310178, 114.170013 22.310102, 114.169953 22.31009)",0.0008969973947096763,1.1775047567941061e-06,0.0,1.4633075585247425e-06,1.0,2112,0.25903825903825906,2467,0.13443313443313443,1122,0.3034398034398034,2485,0.12811512811512812
1676,1012,743,1636768902,1172757982,0,102506129,鴉打街 Arthur Street,residential,True,69.296,,,,,,,"LINESTRING (114.170681 22.31022, 114.17057 22.310834)",0.0001976447316440214,2.009064947654681e-07,0.0,5.303513675771072e-07,1.0,2373,0.16742716742716743,2501,0.1224991224991225,1122,0.3034398034398034,2501,0.1224991224991225
1677,1012,1011,1636768902,1636768900,0,102506142,眾坊街 Public Square Street,tertiary,True,27.23,2,,,,,,"LINESTRING (114.170681 22.31022, 114.17042 22.310178)",0.0009770449235402643,1.0933447819959987e-05,0.0006476683937823658,1.393814172793067e-05,1.0,2094,0.26535626535626533,2290,0.19656019656019655,572,0.7032292032292032,2334,0.1811161811161811
1678,1013,801,1636768903,1183787466,0,150801664;102506138;987256895,石壁道 Cliff Road;永星里 Wing Sing Lane,residential,False,147.643,2,,,,,,"LINESTRING (114.171651 22.310357, 114.17183 22.310389, 114.171852 22.310402, 114.171863 22.310419, 114.171751 22.310915, 114.171741 22.310927, 114.171725 22.310942, 114.171695 22.310966, 114.171623 22.310966, 114.171345 22.310924, 114.171215 22.310905, 114.171192 22.310901, 114.171123 22.31089)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1679,1014,1015,1636768904,1636768911,0,150801672,新填地街 Reclamation Street,secondary,True,58.293,2,,,,,,"LINESTRING (114.169379 22.310655, 114.169298 22.311066, 114.169289 22.31111, 114.169277 22.31117)",0.005931691878941587,0.0005328957650189677,0.004533678756476684,0.0023288103551252215,0.9993452857717852,1331,0.532994032994033,1137,0.6012636012636012,45,0.9794664794664795,704,0.7532467532467533
1680,1014,1544,1636768904,6836319731,0,150801679,永星里 Wing Sing Lane,tertiary,True,48.707,1,,,,,,"LINESTRING (114.169379 22.310655, 114.169439 22.310665, 114.169718 22.310712, 114.169776 22.310722, 114.169811 22.310713, 114.169839 22.310697)",0.0,0.0,0.0,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,1122,0.3034398034398034,2520,0.05809055809055809
1681,1015,1016,1636768911,1636768923,0,150801665,熙龍里 Hi Lung Lane,residential,False,38.368,2,,,,,,"LINESTRING (114.169277 22.31117, 114.169348 22.311181, 114.169645 22.311226)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1682,1015,1631,1636768911,9803283485,0,485635353;150801676,東莞街 Tung Kun Street;澄平街 Ching Ping Street,residential,True,257.105,2;1,,,,,,"LINESTRING (114.169277 22.31117, 114.16895 22.31112, 114.168789 22.311095, 114.168643 22.311069, 114.167791 22.310919, 114.16774 22.310912, 114.167759 22.310805, 114.167875 22.310154, 114.167893 22.310057)",0.0006852300724590679,0.00020702898126391121,0.0006476683937823658,0.0015168204873176557,0.9995095035738355,2178,0.23587223587223588,1621,0.43137943137943136,572,0.7032292032292032,906,0.6823446823446824
1683,1015,1019,1636768911,1636768937,0,493994639,新填地街 Reclamation Street,secondary,True,104.268,3,,,,,,"LINESTRING (114.169277 22.31117, 114.169186 22.311636, 114.169149 22.311821, 114.169096 22.312093)",0.005246461806482518,0.00031405398026310524,0.002590673575129463,0.0007879440967744848,0.9998357821979492,1439,0.49491049491049494,1432,0.49771849771849774,144,0.9371709371709371,1247,0.5626535626535627
1684,1016,1015,1636768923,1636768911,0,150801665,熙龍里 Hi Lung Lane,residential,False,38.368,2,,,,,,"LINESTRING (114.169645 22.311226, 114.169348 22.311181, 114.169277 22.31117)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
