node_id,osm_id,lon,lat,odbc,od_eff_loss,lscc_loss,td_loss,reachable_demand_share,odbc_rank,odbc_pct,od_eff_rank,od_eff_pct,lscc_rank,lscc_pct,td_rank,td_pct
0,30747332,114.1723211,22.2947802,0.019150247206909454,0.00211178187960815,0.0019430051813470973,0.009853875022461933,0.9977086787494622,609,0.6491633006347375,632,0.6358915175995383,372,0.727062896710906,449,0.7414887478361223
1,30747334,114.1721995,22.296485,0.0079323608764151,0.000323750505925752,0.0006476683937823658,0.0008098977517635716,1.0,1032,0.40507789959607615,1294,0.25389497980380843,901,0.2951529140219273,1302,0.24927870744373917
2,33004487,114.1710946,22.310275,0.0443890934006781,0.002733814230289962,0.0019430051813470973,0.004449017008120615,0.9999994754944151,125,0.9284477784189267,523,0.6987882285054818,372,0.727062896710906,755,0.5649163300634737
3,33004488,114.1707203,22.3129647,0.08601001201574944,0.006535727654997559,0.006476683937823782,0.017170274386409397,0.9984784839121921,10,0.9948066935949221,187,0.8926716676283901,32,0.9795152914021927,277,0.8407386035776111
4,33004530,114.16936,22.2988324,0.028419342963117718,0.013721499581942862,0.0019430051813470973,0.017254422768216295,0.9957900379823442,355,0.795729948066936,57,0.9676860934795153,372,0.727062896710906,276,0.8413156376226197
5,33004534,114.1679667,22.3014436,0.025694282606511347,0.0015487651132375336,0.0019430051813470973,0.005084103919670055,0.9996825097687978,419,0.758799769186382,776,0.552798615118292,372,0.727062896710906,700,0.5966532025389498
6,33004677,114.1784272,22.2977677,0.010683449450167318,0.00060567823809072,0.002590673575129463,0.0012901111330529957,1.0,920,0.4697057126370456,1117,0.35603000577034044,244,0.823139065204847,1173,0.3237160992498557
7,33476495,114.1679567,22.3030232,0.030261345320436322,0.00346310375742318,0.0032383419689119533,0.009844735772482726,0.9985831573495205,312,0.8205424120023082,414,0.7616849394114252,170,0.8814195037507213,451,0.740334679746105
8,33476497,114.1675993,22.3044393,0.023357811371746116,0.0008008058287565841,0.0006476683937823658,0.002092322265354523,1.0,497,0.7137911136757069,1036,0.40276976341604154,901,0.2951529140219273,1014,0.41546451240623195
9,33476500,114.1668472,22.3058563,0.05341681349080574,0.0009318788847906325,0.0019430051813470973,0.002033440153501871,0.999935576395087,64,0.9636468551644547,978,0.4362377380265436,372,0.727062896710906,1028,0.40738603577611077
10,33476501,114.1670616,22.3065045,0.014096869543595117,0.0033196490161971895,0.0032383419689119533,0.01831963385301727,0.9941391983651008,782,0.54933641084824,430,0.7524523946912868,170,0.8814195037507213,255,0.8534333525678015
11,33476508,114.1753023,22.2954779,0.010923846448136397,0.0009736165856088222,0.0006476683937823658,0.006358895301728169,0.9979931970666162,904,0.4789382573571841,958,0.44777841892671666,901,0.2951529140219273,598,0.6555106751298326
12,33476510,114.1748954,22.2952697,0.007336552810591083,2.0646840928692893e-05,0.0006476683937823658,7.752170273026297e-05,1.0,1071,0.3825735718407386,1568,0.09578765147143682,901,0.2951529140219273,1555,0.10328909405654933
13,33476549,114.1713365,22.294724,0.014406369062785394,0.001201904908669159,0.0019430051813470973,0.004491259467674928,0.9991988890310679,771,0.5556837853433353,868,0.4997114829774957,372,0.727062896710906,750,0.5678015002885171
14,245088222,114.1781156,22.32696,0.03533860754228168,0.003998073471690684,0.0006476683937823658,0.011767855372365264,0.9988985288477712,227,0.8695903058280439,368,0.7882285054818234,901,0.2951529140219273,377,0.7830351990767456
15,274243013,114.1587724,22.3274542,0.024255299999830407,0.008735919098146685,0.002590673575129463,0.0627280017752287,0.9796585477796347,459,0.7354298903635315,120,0.9310444316214657,244,0.823139065204847,32,0.9818234275822274
16,274243016,114.1622524,22.3249209,0.024255299999830407,0.008735919098146685,0.002590673575129463,0.0627280017752287,0.9796585477796347,459,0.7354298903635315,120,0.9310444316214657,244,0.823139065204847,32,0.9818234275822274
17,274243086,114.1673946,22.3117971,0.0071667473901127505,0.00037258103697466945,0.0012953367875647315,0.001225505799399021,0.999671564395899,1082,0.3762261973456434,1258,0.27466820542412,577,0.5744373918061165,1184,0.3173687247547605
18,274243087,114.1678659,22.3096922,0.013968361869609862,0.00039923787375277303,0.0006476683937823658,0.0005527744121131376,1.0,790,0.5447201384881708,1238,0.28620888632429314,901,0.2951529140219273,1376,0.20657818811309867
