component,strategy,target_fraction,fraction,n_removed,runs,edge_fraction_lost,node_fraction_lost,od_eff_norm,od_eff_norm_std,od_eff_norm_p025,od_eff_norm_p975,od_eff_loss,od_eff_loss_std,od_eff_loss_p025,od_eff_loss_p975,lscc_norm,lscc_norm_std,lscc_norm_p025,lscc_norm_p975,td_loss,td_loss_std,td_loss_p025,td_loss_p975,reachable_demand_share,reachable_demand_share_std,reachable_demand_share_p025,reachable_demand_share_p975
link,lscc,0.0,0.0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
link,lscc,0.02,0.020007020007020006,57,1,0.020007020007020006,0.0,0.8448541992245034,0.0,0.8448541992245034,0.8448541992245034,0.15514580077549656,0.0,0.15514580077549656,0.15514580077549656,0.7778497409326425,0.0,0.7778497409326425,0.7778497409326425,0.8026060433932654,0.0,0.8026060433932654,0.8026060433932654,0.7513586380621783,0.0,0.7513586380621783,0.7513586380621783
link,lscc,0.04,0.04001404001404001,114,1,0.04001404001404001,0.0,0.7483745422527874,0.0,0.7483745422527874,0.7483745422527874,0.25162545774721257,0.0,0.25162545774721257,0.25162545774721257,0.680699481865285,0.0,0.680699481865285,0.680699481865285,1.2140446093664787,0.0,1.2140446093664787,1.2140446093664787,0.6284834610596366,0.0,0.6284834610596366,0.6284834610596366
link,lscc,0.06,0.06002106002106002,171,1,0.06002106002106002,0.0,0.6329713625336352,0.0,0.6329713625336352,0.6329713625336352,0.3670286374663648,0.0,0.3670286374663648,0.3670286374663648,0.5829015544041452,0.0,0.5829015544041452,0.5829015544041452,1.6688797243166056,0.0,1.6688797243166056,1.6688797243166056,0.4983432496935403,0.0,0.4983432496935403,0.4983432496935403
link,lscc,0.08,0.08002808002808003,228,1,0.08002808002808003,0.0,0.5518885088520075,0.0,0.5518885088520075,0.5518885088520075,0.44811149114799254,0.0,0.44811149114799254,0.44811149114799254,0.4799222797927461,0.0,0.4799222797927461,0.4799222797927461,1.952766620975851,0.0,1.952766620975851,1.952766620975851,0.40699959834790816,0.0,0.40699959834790816,0.40699959834790816
link,lscc,0.1,0.10003510003510004,285,1,0.10003510003510004,0.0,0.4948175516213158,0.0,0.4948175516213158,0.4948175516213158,0.5051824483786842,0.0,0.5051824483786842,0.5051824483786842,0.38212435233160624,0.0,0.38212435233160624,0.38212435233160624,2.259302313172241,0.0,2.259302313172241,2.259302313172241,0.31608339387352397,0.0,0.31608339387352397,0.31608339387352397
link,lscc,0.12,0.12004212004212005,342,1,0.12004212004212005,0.0,0.42278474481437656,0.0,0.42278474481437656,0.42278474481437656,0.5772152551856234,0.0,0.5772152551856234,0.5772152551856234,0.15738341968911918,0.0,0.15738341968911918,0.15738341968911918,2.460920939739039,0.0,2.460920939739039,2.460920939739039,0.2286764345904386,0.0,0.2286764345904386,0.2286764345904386
link,lscc,0.14,0.14004914004914004,399,1,0.14004914004914004,0.0,0.35978400324262416,0.0,0.35978400324262416,0.35978400324262416,0.6402159967573758,0.0,0.6402159967573758,0.6402159967573758,0.11010362694300518,0.0,0.11010362694300518,0.11010362694300518,2.69809203293892,0.0,2.69809203293892,2.69809203293892,0.1357070345265655,0.0,0.1357070345265655,0.1357070345265655
link,lscc,0.16,0.16005616005616005,456,1,0.16005616005616005,0.0,0.32843042026249397,0.0,0.32843042026249397,0.32843042026249397,0.6715695797375061,0.0,0.6715695797375061,0.6715695797375061,0.04533678756476684,0.0,0.04533678756476684,0.04533678756476684,2.8300302306493266,0.0,2.8300302306493266,2.8300302306493266,0.08575671026198636,0.0,0.08575671026198636,0.08575671026198636
link,lscc,0.18,0.18006318006318006,513,1,0.18006318006318006,0.0,0.3220054478074822,0.0,0.3220054478074822,0.3220054478074822,0.6779945521925178,0.0,0.6779945521925178,0.6779945521925178,0.04533678756476684,0.0,0.04533678756476684,0.04533678756476684,2.8635486310233307,0.0,2.8635486310233307,2.8635486310233307,0.07359194594656787,0.0,0.07359194594656787,0.07359194594656787
