component,strategy,run,seed,target_fraction,fraction,n_removed,edge_fraction_lost,node_fraction_lost,od_eff,od_eff_norm,od_eff_loss,lscc,lscc_norm,penalized_total_distance,td_loss,reachable_demand_share
link,lscc,0,20260905,0.0,0.0,0,0.0,0.0,0.0006718278773220594,1.0,0.0,0.8909405654933641,1.0,1574335933.3296878,0.0,1.0
link,lscc,0,20260905,0.02,0.020007020007020006,57,0.020007020007020006,0.0,0.0005675966033116264,0.8448541992245034,0.15514580077549656,0.6930178880553952,0.7778497409326425,2837907467.751272,0.8026060433932654,0.7513586380621783
link,lscc,0,20260905,0.04,0.04001404001404001,114,0.04001404001404001,0.0,0.000502778880163558,0.7483745422527874,0.25162545774721257,0.6064627813040969,0.680699481865285,3485649986.5205393,1.2140446093664787,0.6284834610596366
link,lscc,0,20260905,0.06,0.06002106002106002,171,0.06002106002106002,0.0,0.0004252478068966238,0.6329713625336352,0.3670286374663648,0.51933064050779,0.5829015544041452,4201713251.726663,1.6688797243166056,0.4983432496935403
link,lscc,0,20260905,0.08,0.08002808002808003,228,0.08002808002808003,0.0,0.00037077408542048073,0.5518885088520075,0.44811149114799254,0.4275822273514137,0.4799222797927461,4648646594.138765,1.952766620975851,0.40699959834790816
link,lscc,0,20260905,0.1,0.10003510003510004,285,0.10003510003510004,0.0,0.0003324322253674471,0.4948175516213158,0.5051824483786842,0.3404500865551068,0.38212435233160624,5131236749.211631,2.259302313172241,0.31608339387352397
link,lscc,0,20260905,0.12,0.12004212004212005,342,0.12004212004212005,0.0,0.00028403857767279113,0.42278474481437656,0.5772152551856234,0.1402192729371033,0.15738341968911918,5448652197.84432,2.460920939739039,0.2286764345904386
link,lscc,0,20260905,0.14,0.14004914004914004,399,0.14004914004914004,0.0,0.00024171292319292512,0.35978400324262416,0.6402159967573758,0.09809578765147144,0.11010362694300518,5822039172.215978,2.69809203293892,0.1357070345265655
link,lscc,0,20260905,0.16,0.16005616005616005,456,0.16005616005616005,0.0,0.0002206487120929432,0.32843042026249397,0.6715695797375061,0.040392383150605886,0.04533678756476684,6029754217.850227,2.8300302306493266,0.08575671026198636
link,lscc,0,20260905,0.18,0.18006318006318006,513,0.18006318006318006,0.0,0.00021633223648663994,0.3220054478074822,0.6779945521925178,0.040392383150605886,0.04533678756476684,6082523439.986753,2.8635486310233307,0.07359194594656787
link,lscc,0,20260905,0.2,0.20007020007020007,570,0.20007020007020007,0.0,0.0001977881086061186,0.29440294944966,0.7055970505503399,0.03923831506058857,0.04404145077720207,6209945398.340353,2.944485587143048,0.044692067188632875
link,lscc,0,20260905,0.22,0.22007722007722008,627,0.22007722007722008,0.0,0.00019062621464071522,0.28374263866596483,0.7162573613340352,0.03693017888055395,0.04145077720207254,6252967149.810827,2.971812506741132,0.035456751583136915
link,lscc,0,20260905,0.24,0.2400842400842401,684,0.2400842400842401,0.0,0.0001868098227096554,0.2780620290040494,0.7219379709959506,0.031159838430467397,0.034974093264248704,6276184030.467691,2.986559601160657,0.03044913752299979
link,lscc,0,20260905,0.26,0.2600912600912601,741,0.2600912600912601,0.0,0.00018329725776872926,0.27283365867364956,0.7271663413263505,0.02308136180034622,0.02590673575129534,6288135909.341917,2.9941512965677153,0.0279774555592555
link,lscc,0,20260905,0.28,0.2800982800982801,798,0.2800982800982801,0.0,0.00018192446671046037,0.27079029145920636,0.7292097085407936,0.02308136180034622,0.02590673575129534,6295334094.248707,2.9987235004756614,0.026475942902402353
link,lscc,0,20260905,0.3,0.3001053001053001,855,0.3001053001053001,0.0,0.00018018836889437053,0.2682061506774781,0.7317938493225219,0.020196191575302943,0.02266839378238342,6303811131.588175,3.0041080166770664,0.02473248133612154
