Metric,Rank,Component ID,BC,GNE Loss (%),LSCC Loss (%),TTD Loss (%),Reachable OD Demand after Removal (%),OSM Node ID,Longitude,Latitude
BC,1,155,0.1085253634653243,1.63532334776577,0.45336787564766,5.06518189880725,98.69194168270661,332251375.0,114.1691048,22.3208406
BC,2,1613,0.0976265539368509,0.8826179525708401,0.06476683937823,0.89442448768213,100.0,8983466243.0,114.172718,22.319873
BC,3,96,0.0952657317491805,1.35735159175759,0.45336787564766,4.21244860603052,98.98397116572177,308473424.0,114.1694289,22.3193121
BC,4,449,0.093136295315818,0.57095160206001,0.12953367875647,0.91771562365194,99.91279451064497,804107078.0,114.1837308,22.3239891
BC,5,1526,0.0921825071997746,1.54975484590903,0.38860103626943,4.82917825523047,98.6294791842932,6705233666.0,114.1754008,22.31856
BC,6,674,0.0898419391453094,1.05846864521485,0.12953367875647,1.5973774822667601,99.67368691828524,1162875766.0,114.1726227,22.3198547
BC,7,691,0.0886659677182498,0.7133410368479101,0.25906735751294,1.11949990696591,99.97328073443977,1168183637.0,114.1712842,22.3212697
BC,8,602,0.0881878841589769,1.25233884806888,0.06476683937823,3.2540613930229503,99.25841890815748,1151084860.0,114.16932,22.319293
BC,9,1588,0.0869574427020526,1.82657725351984,0.06476683937823,4.27393606179643,99.29133549147744,8013314519.0,114.1809491,22.3163247
BC,10,3,0.0860100120157494,0.65357276549975,0.6476683937823701,1.7170274386409299,99.8478483912192,33004488.0,114.1707203,22.3129647
GNE,1,1610,0.0037005123186871,11.76785824986204,0.06476683937823,0.64271262025237,99.79771143946716,8898733318.0,114.1884349,22.3306549
GNE,2,1114,0.0304535199075756,8.55008895050955,0.12953367875647,9.37994464077543,96.95464800924239,1649048792.0,114.1868238,22.3001586
GNE,3,1462,0.0254706277434446,7.63122104043044,0.06476683937823,7.8451712289546505,97.45293722565552,6126352666.0,114.1862539,22.29978
GNE,4,1192,0.0036481828088028,7.50048205551345,0.06476683937823,0.68522477376534,99.77900949129396,1651828031.0,114.1882333,22.3306597
GNE,5,902,0.051780723974442,7.4024554591765295,0.06476683937823,6.62430595981873,98.08314545633895,1222130707.0,114.181684,22.3145395
GNE,6,226,0.0370991676771759,7.139696724656459,0.06476683937823,4.72838319029378,98.61168686145484,384381698.0,114.1872902,22.3012357
GNE,7,463,0.0398172381354189,7.1198223447217295,0.06476683937823,6.36114771760207,98.08314545633895,804108174.0,114.1819173,22.3136315
GNE,8,223,0.0457379561788444,7.03096513157217,0.38860103626943,8.76642195469299,97.25764742384916,384377581.0,114.1882794,22.3017014
GNE,9,1611,0.0025375559231471,6.94923600424362,0.06476683937823,0.62662983439308,99.79771143946716,8898733319.0,114.1886587,22.3306405
GNE,10,1504,0.0426492254080859,6.87921339691136,0.1943005181347,11.40357351341829,96.30784655426041,6705233168.0,114.1887065,22.3022816
LSCC,1,1185,0.0641595193686407,1.7021310581312898,1.74870466321243,10.14221581385851,96.83905397226904,1651828016.0,114.1870206,22.3289968
LSCC,2,989,0.0114505788953575,0.55796957160688,1.29533678756476,3.0792563760325,99.00337926196278,1636543916.0,114.1786506,22.3287249
LSCC,3,1579,0.0115886875700375,0.56007618425595,1.29533678756476,3.08412077560348,99.00337926196278,7635791091.0,114.1787517,22.330377
LSCC,4,1244,0.0257230842642046,0.60653901899565,1.23056994818653,3.9821102750087696,98.77967592402273,2873992829.0,114.1970444,22.331626
LSCC,5,1245,0.0257230842642046,0.60653901899565,1.23056994818653,3.9821102750087696,98.77967592402273,2873992835.0,114.1969835,22.331512
LSCC,6,1433,0.0122032407597726,0.55227394466887,1.23056994818653,3.7587025444716198,98.77967592402273,5333606589.0,114.1965197,22.3313446
LSCC,7,1480,0.0280785028702919,1.33479091158006,1.03626943005181,8.00241316644738,97.41619904404331,6374552943.0,114.1721796,22.3273249
LSCC,8,23,0.0248686688845342,1.23151879755093,0.97150259067357,7.65976275105979,97.51313311154655,275935761.0,114.1744266,22.3289764
LSCC,9,308,0.0296537428819496,0.27058206028957,0.97150259067357,1.05696213681998,99.86928730667867,484136661.0,114.1745225,22.3250746
LSCC,10,567,0.0296537428819496,0.27058206028957,0.97150259067357,1.05696213681998,99.86928730667867,1139326589.0,114.1746572,22.3251029
TTD,1,1504,0.0426492254080859,6.87921339691136,0.1943005181347,11.40357351341829,96.30784655426041,6705233168.0,114.1887065,22.3022816
TTD,2,1463,0.0363624832901982,6.691595671522039,0.06476683937823,11.19995590980384,96.36375167098016,6126362968.0,114.1894809,22.3021814
TTD,3,1185,0.0641595193686407,1.7021310581312898,1.74870466321243,10.14221581385851,96.83905397226904,1651828016.0,114.1870206,22.3289968
TTD,4,1114,0.0304535199075756,8.55008895050955,0.12953367875647,9.37994464077543,96.95464800924239,1649048792.0,114.1868238,22.3001586
TTD,5,859,0.0310237367138944,1.81603576600066,0.38860103626943,9.309206002599819,96.97893181557612,1191992818.0,114.1610656,22.3317692
TTD,6,1505,0.0345883384176387,1.9515084366178301,0.06476683937823,8.90535231954917,97.14244076885599,6705233214.0,114.1884218,22.3212481
TTD,7,223,0.0457379561788444,7.03096513157217,0.38860103626943,8.76642195469299,97.25764742384916,384377581.0,114.1882794,22.3017014
TTD,8,1104,0.0378075163260367,1.3123339479220901,0.97150259067357,8.70661815314073,97.2033456865912,1649048105.0,114.172169,22.2981391
TTD,9,867,0.0284694705038354,1.6013369015964798,0.38860103626943,8.62859797367474,97.199737532304,1194152580.0,114.1609773,22.3318357
TTD,10,814,0.0725990404050205,1.8192117256937,0.32383419689119,8.48173507331965,97.33669249676741,1185400587.0,114.1713909,22.3084001
