component,strategy,target_fraction,fraction,n_removed,runs,reachable_share,reachable_share_std,reachable_share_p025,reachable_share_p975,reach_loss,reach_loss_std,reach_loss_p025,reach_loss_p975,mean_m,mean_m_std,mean_m_p025,mean_m_p975,median_m,median_m_std,median_m_p025,median_m_p975,p90_m,p90_m_std,p90_m_p025,p90_m_p975,p95_m,p95_m_std,p95_m_p025,p95_m_p975
link,odbc,0.08,0.08002808002808003,228,1,0.7943873298138372,0.0,0.7943873298138372,0.7943873298138372,0.07696582383995554,0.0,0.07696582383995554,0.07696582383995554,2741.6923301853794,0.0,2741.6923301853794,2741.6923301853794,2545.281,0.0,2545.281,2545.281,5124.899000000001,0.0,5124.899000000001,5124.899000000001,6120.447,0.0,6120.447,6120.447
link,odbc,0.1,0.10003510003510004,285,1,0.7168657960544595,0.0,0.7168657960544595,0.7168657960544595,0.15448735759933319,0.0,0.15448735759933319,0.15448735759933319,2917.888799224806,0.0,2917.888799224806,2917.888799224806,2949.5355,0.0,2949.5355,2949.5355,5449.320099999998,0.0,5449.320099999998,5449.320099999998,6606.988,0.0,6606.988,6606.988
link,odbc,0.12,0.12004212004212005,342,1,0.6882467352042234,0.0,0.6882467352042234,0.6882467352042234,0.18310641844956932,0.0,0.18310641844956932,0.18310641844956932,2876.1321598708114,0.0,2876.1321598708114,2876.1321598708114,2907.7110000000007,0.0,2907.7110000000007,2907.7110000000007,5395.699400000005,0.0,5395.699400000005,5395.699400000005,6606.988,0.0,6606.988,6606.988
link,odbc,0.14,0.14004914004914004,399,1,0.648235621005835,0.0,0.648235621005835,0.648235621005835,0.22311753264795775,0.0,0.22311753264795775,0.22311753264795775,2925.7016682383196,0.0,2925.7016682383196,2925.7016682383196,3125.549,0.0,3125.549,3125.549,5463.794999999999,0.0,5463.794999999999,5463.794999999999,6704.590000000002,0.0,6704.590000000002,6704.590000000002
link,odbc,0.16,0.16005616005616005,456,1,0.6407335370936371,0.0,0.6407335370936371,0.6407335370936371,0.23061961656015562,0.0,0.23061961656015562,0.23061961656015562,2931.103335212489,0.0,2931.103335212489,2931.103335212489,3125.549,0.0,3125.549,3125.549,5776.0019999999995,0.0,5776.0019999999995,5776.0019999999995,6719.665,0.0,6719.665,6719.665
link,odbc,0.18,0.18006318006318006,513,1,0.6321200333425951,0.0,0.6321200333425951,0.6321200333425951,0.2392331203111976,0.0,0.2392331203111976,0.2392331203111976,2930.2466061538457,0.0,2930.2466061538457,2930.2466061538457,3125.549,0.0,3125.549,3125.549,5869.83,0.0,5869.83,5869.83,6719.665,0.0,6719.665,6719.665
link,odbc,0.2,0.20007020007020007,570,1,0.5815504306751875,0.0,0.5815504306751875,0.5815504306751875,0.2898027229786052,0.0,0.2898027229786052,0.2898027229786052,2759.374304347826,0.0,2759.374304347826,2759.374304347826,2914.947,0.0,2914.947,2914.947,5319.201,0.0,5319.201,5319.201,6719.665,0.0,6719.665,6719.665
link,odbc,0.22,0.22007722007722008,627,1,0.3889969435954432,0.0,0.3889969435954432,0.3889969435954432,0.48235621005834955,0.0,0.48235621005834955,0.48235621005834955,2382.6146557142856,0.0,2382.6146557142856,2382.6146557142856,2353.4429999999998,0.0,2353.4429999999998,2353.4429999999998,5520.2159999999985,0.0,5520.2159999999985,5520.2159999999985,5621.374999999998,0.0,5621.374999999998,5621.374999999998
link,odbc,0.24,0.2400842400842401,684,1,0.38316198944151153,0.0,0.38316198944151153,0.38316198944151153,0.4881911642122812,0.0,0.4881911642122812,0.4881911642122812,2562.8939021029732,0.0,2562.8939021029732,2562.8939021029732,2571.7090000000003,0.0,2571.7090000000003,2571.7090000000003,5520.2159999999985,0.0,5520.2159999999985,5520.2159999999985,5621.374999999998,0.0,5621.374999999998,5621.374999999998
link,odbc,0.26,0.2600912600912601,741,1,0.38066129480411226,0.0,0.38066129480411226,0.38066129480411226,0.4906918588496805,0.0,0.4906918588496805,0.4906918588496805,2603.1163211678836,0.0,2603.1163211678836,2603.1163211678836,2650.7520000000004,0.0,2650.7520000000004,2650.7520000000004,5855.355,0.0,5855.355,5855.355,5956.513999999999,0.0,5956.513999999999,5956.513999999999
