link_id,from_node,to_node,u_osm,v_osm,edge_key,osm_way,name,highway,oneway,length_m,lanes,maxspeed,ref,access,bridge,tunnel,geometry
2130,1280,815,4421445236,1185400607,0,102640444,,residential,False,70.68,1,,,,,,"LINESTRING (114.171475 22.312695, 114.171128 22.31263, 114.170877 22.312584, 114.170801 22.31257)"
2131,1282,397,4493621922,629539289,0,1305278465;1305278466;1305278470;452590570;247844983,加士居道天橋 Gascoigne Road Flyover,trunk,True,263.54,2,50,5,,viaduct,,"LINESTRING (114.175994 22.306644, 114.176165 22.306592, 114.176346 22.306537, 114.176911 22.306348, 114.177055 22.306298, 114.177342 22.306199, 114.177745 22.306064, 114.178005 22.30598, 114.178322 22.305897, 114.178418 22.305906)"
2132,1283,716,4501979659,1168380691,0,1299955106;102441835;493744604;1299955111,渡船街 Ferry Street,trunk,True,238.661,3,70,5,,viaduct,,"LINESTRING (114.166787 22.315056, 114.166833 22.314717, 114.166944 22.313905, 114.167007 22.313389, 114.167071 22.312926)"
2133,1284,829,4510281036,1187352694,0,102821059,童軍徑 Scout Path,residential,False,64.007,2,,,,,,"LINESTRING (114.169086 22.303021, 114.169088 22.303001, 114.169094 22.302947, 114.1691 22.302674, 114.169106 22.302528, 114.169102 22.302503, 114.169084 22.302449)"
2134,1284,1286,4510281036,4510286866,0,1215181724,柯士甸道 Austin Road,secondary,True,99.424,3,,,,,,"LINESTRING (114.169086 22.303021, 114.168276 22.302961, 114.168248 22.302959, 114.168184 22.302954, 114.168122 22.302948)"
2135,1285,1284,4510281038,4510281036,0,454467320,柯士甸道 Austin Road,secondary,True,20.025,2,,,,,,"LINESTRING (114.16928 22.303037, 114.169086 22.303021)"
2136,1286,1305,4510286866,4844962258,0,547281954,柯士甸道 Austin Road,primary,True,16.061,2,,,,,,"LINESTRING (114.168122 22.302948, 114.167967 22.302938)"
2137,1286,315,4510286866,495137475,0,547281953,廣東道 Canton Road,primary,True,281.174,3,,,,,,"LINESTRING (114.168122 22.302948, 114.168114 22.302669, 114.168109 22.302555, 114.168093 22.302429, 114.168058 22.302231, 114.168044 22.302115, 114.168039 22.302007, 114.168044 22.301886, 114.168059 22.301746, 114.168079 22.301645, 114.168111 22.301475, 114.168243 22.300802, 114.168275 22.30069, 114.168312 22.300592, 114.168378 22.300464)"
2138,1287,1121,4535526794,1649049019,0,103020358,金巴利道 Kimberley Road,residential,False,23.464,,,,,,,"LINESTRING (114.17573 22.302528, 114.175634 22.302337)"
2139,1288,289,4642297159,441535168,0,469977997,彌敦道 Nathan Road,secondary,True,13.339,2,,,,,,"LINESTRING (114.172391 22.294674, 114.172282 22.294608)"
2140,1288,0,4642297159,30747332,0,99517944,彌敦道 Nathan Road,primary_link,True,14.131,2,,,,,,"LINESTRING (114.172391 22.294674, 114.172371 22.294693, 114.172335 22.294737, 114.172321 22.29478)"
2141,1289,1515,4689807727,6705233450,0,475193249,常盛里 Sheung Shing Lane,residential,False,145.129,2,,,,,,"LINESTRING (114.181692 22.318357, 114.181741 22.318427, 114.181782 22.318511, 114.181814 22.318605, 114.181825 22.318687, 114.18182 22.3188, 114.181793 22.318877, 114.181737 22.318986, 114.181658 22.319079, 114.181306 22.319316, 114.181207 22.319382)"
2142,1290,1452,4733952775,6001017151,0,640061996,庇利街 Bailey Street,tertiary,False,9.559,6,,,,,,"LINESTRING (114.1905 22.312185, 114.190409 22.312205)"
2143,1290,1726,4733952775,13860956553,0,442616753;636054901,紅磡道 Hung Hom Road,secondary,True,366.44599999999997,2,,,,,,"LINESTRING (114.1905 22.312185, 114.190487 22.312046, 114.190462 22.311792, 114.190437 22.311186, 114.190418 22.310748, 114.190416 22.31069, 114.190413 22.310585, 114.190413 22.31047, 114.190415 22.310206, 114.190395 22.309112, 114.190394 22.309063, 114.190392 22.309005, 114.190389 22.308892)"
2144,1291,575,4773263715,1140062928,0,484579081;484579082;98547382,窩打老道 Waterloo Road,trunk,True,239.541,2,50,1,,yes,,"LINESTRING (114.178526 22.327281, 114.178534 22.327201, 114.178543 22.327128, 114.178556 22.327032, 114.17857 22.326921, 114.178575 22.32681, 114.178574 22.326705, 114.178571 22.326615, 114.178541 22.32612, 114.178501 22.325752, 114.178453 22.32541, 114.178419 22.325136)"
2145,1291,573,4773263715,1140062891,0,98547386;98547375,,trunk_link,True,189.05199999999996,1,50,,,yes,,"LINESTRING (114.178526 22.327281, 114.178513 22.326877, 114.178498 22.326598, 114.178458 22.326031, 114.178448 22.325956, 114.178434 22.325888, 114.178416 22.325858, 114.178398 22.325824, 114.178373 22.325794, 114.178343 22.32577, 114.178296 22.325745, 114.178188 22.325705)"
2146,1292,1415,4773316072,5135751883,0,996259376;996259393;484583028,基堤道 Embankment Road,primary_link,True,54.479,1,,,,,,"LINESTRING (114.174652 22.326459, 114.174679 22.326483, 114.174712 22.326511, 114.174723 22.326521, 114.17475 22.326546, 114.174786 22.326572, 114.175013 22.326702, 114.175052 22.326768)"
2147,1292,1620,4773316072,9199524748,0,996259392;996259394;996259388,界限街 Boundary Street,secondary,True,20.921,1,,,,,,"LINESTRING (114.174652 22.326459, 114.174633 22.326504, 114.17461 22.326537, 114.174532 22.326607)"
2148,1293,1294,4773316080,4773330911,0,680766732;777727319,界限街 Boundary Street,secondary,True,38.82399999999999,2;1,,,,,,"LINESTRING (114.172434 22.326673, 114.172338 22.326638, 114.17227 22.326612, 114.172242 22.326611, 114.172205 22.326614, 114.172177 22.326618, 114.172154 22.326628, 114.172136 22.326637, 114.17212 22.326649, 114.172111 22.326657, 114.172105 22.326663, 114.172098 22.326679)"
2149,1293,1620,4773316080,9199524748,0,996259395;996259397;1015003887;1015003888;996259379;996259380;996259381;996259382;996259383;996259384;996259385,界限街 Boundary Street,primary,False,219.003,5;6;4,,,,,,"LINESTRING (114.172434 22.326673, 114.172496 22.326676, 114.172822 22.326694, 114.173001 22.326707, 114.173042 22.32671, 114.173119 22.326716, 114.173172 22.32672, 114.173212 22.326722, 114.173254 22.326725, 114.173392 22.326735, 114.17362 22.326745, 114.173707 22.326749, 114.173941 22.326758, 114.174024 22.326759, 114.174083 22.326753, 114.174165 22.32674, 114.174231 22.32672, 114.174418 22.326655, 114.174532 22.326607)"
2150,1294,1619,4773330911,9197712776,0,35894200,大坑東道 Tai Hang Tung Road,secondary,True,10.729,3,,,,,,"LINESTRING (114.172098 22.326679, 114.172083 22.326774)"
2151,1294,1479,4773330911,6374552939,0,99716663,界限街 Boundary Street,primary,True,13.573,4,,,,,,"LINESTRING (114.172098 22.326679, 114.172144 22.326681, 114.172229 22.326686)"
2152,1295,1294,4773331322,4773330911,0,996080266;246488543,界限街 Boundary Street,primary,True,34.003,4,,,,,,"LINESTRING (114.171767 22.326666, 114.17193 22.326672, 114.171981 22.326674, 114.172098 22.326679)"
2153,1295,1619,4773331322,9197712776,0,680766731;680766735,界限街 Boundary Street,primary_link,True,36.241,1,,,,,,"LINESTRING (114.171767 22.326666, 114.171822 22.326718, 114.171847 22.326727, 114.17187 22.326732, 114.171924 22.326738, 114.171979 22.326745, 114.172021 22.326751, 114.172053 22.326752, 114.172072 22.326761, 114.172083 22.326774)"
2154,1296,704,4773727046,1168315954,0,955616984;99716365,聚魚道 Chui Yu Road,secondary_link,True,26.607999999999997,2,,,,,,"LINESTRING (114.160388 22.326048, 114.160448 22.326125, 114.160503 22.326195, 114.160546 22.326237)"
2155,1296,110,4773727046,331258075,0,1327259712;1327259710,聚魚道 Chui Yu Road,secondary,True,28.729999999999997,2,,,,,,"LINESTRING (114.160388 22.326048, 114.160388 22.326103, 114.160399 22.326148, 114.16042 22.326191, 114.160449 22.326232, 114.160494 22.326277)"
2156,1297,137,4773779436,332242353,0,102368462,通州街 Tung Chau Street,trunk_link,True,41.731,2,,,,,,"LINESTRING (114.164118 22.323606, 114.16415 22.323585, 114.164228 22.323546, 114.16427 22.323531, 114.164311 22.323516, 114.164394 22.323493, 114.164494 22.323475)"
2157,1297,1607,4773779436,8664575339,0,102368468;934998558,詩歌舞街 Sycamore Street,trunk_link,True,39.076,1,,,,,,"LINESTRING (114.164118 22.323606, 114.164171 22.323603, 114.164221 22.323606, 114.164268 22.323621, 114.16431 22.323647, 114.164334 22.323667, 114.164357 22.323692, 114.164371 22.323709, 114.164387 22.323749, 114.16438 22.323785)"
2158,1298,916,4777713345,1408521472,0,723895585,九龍城迴旋處 Kowloon City Roundabout,secondary,True,39.996,3,,,,,,"LINESTRING (114.190314 22.327014, 114.190244 22.326952, 114.190179 22.326885, 114.190118 22.326815, 114.190062 22.326741)"
2159,1299,465,4781436505,804108815,0,353796332,常盛街 Sheung Shing Street,tertiary,False,310.641,2,,,,,,"LINESTRING (114.185643 22.32008, 114.185559 22.31998, 114.185179 22.319535, 114.185127 22.319483, 114.185066 22.319433, 114.185009 22.319399, 114.184944 22.319374, 114.1849 22.319362, 114.184847 22.319351, 114.184793 22.319345, 114.184718 22.319341, 114.184647 22.319342, 114.184584 22.319346, 114.184513 22.319361, 114.184444 22.319384, 114.184384 22.319412, 114.184314 22.319458, 114.183676 22.319933, 114.183605 22.319976, 114.183526 22.320015, 114.183445 22.320046, 114.183357 22.320072, 114.183288 22.320089, 114.183223 22.3201)"
2160,1299,1498,4781436505,6705233064,0,353796635,天光道 Tin Kwong Road,tertiary,False,80.262,2,,,,,,"LINESTRING (114.185643 22.32008, 114.185769 22.320026, 114.185872 22.320019, 114.18641 22.320018)"
2161,1299,1508,4781436505,6705233260,0,493966697;485789572,天光道 Tin Kwong Road,tertiary,False,117.59700000000001,2;3,,,,,,"LINESTRING (114.185643 22.32008, 114.18554 22.320147, 114.185502 22.320195, 114.185443 22.32027, 114.185376 22.320438, 114.185207 22.320879, 114.185156 22.321012)"
2162,1300,1301,4843875301,4843875302,0,1425015419;1425015418;644257211;851134670,新山道 San Shan Road,secondary,False,110.13199999999999,2,50,,,,,"LINESTRING (114.191099 22.319991, 114.191559 22.31975, 114.191792 22.319628, 114.192014 22.319512, 114.192031 22.319503)"
2163,1300,354,4843875301,574312973,0,851134668;644257212;851545149;515687991,新山道 San Shan Road,secondary,True,189.526,2,,,,yes,,"LINESTRING (114.191099 22.319991, 114.190885 22.320082, 114.190797 22.32011, 114.19072 22.320124, 114.190641 22.320128, 114.190547 22.320126, 114.190458 22.320113, 114.190394 22.320096, 114.19032 22.32006, 114.190254 22.320013, 114.190135 22.319893, 114.189999 22.319742, 114.189951 22.319695, 114.18993 22.319672, 114.18964 22.319357)"
2164,1301,1352,4843875302,4864718208,0,644257213,新山道 San Shan Road,secondary,True,45.596999999999994,3,,,,,,"LINESTRING (114.192031 22.319503, 114.192249 22.319418, 114.192262 22.319414, 114.19244 22.319345)"
2165,1301,1300,4843875302,4843875301,0,1425015418;1425015419;644257211;851134670,新山道 San Shan Road,secondary,False,110.132,2,50,,,,,"LINESTRING (114.192031 22.319503, 114.192014 22.319512, 114.191792 22.319628, 114.191559 22.31975, 114.191099 22.319991)"
2166,1302,1229,4844265425,2558036215,0,152470465,協調道 Concorde Road,secondary,True,124.53,2,,,,,,"LINESTRING (114.197278 22.33167, 114.197369 22.331705, 114.197436 22.33173, 114.19748 22.331752, 114.197535 22.33179, 114.197547 22.331798, 114.197707 22.331927, 114.197784 22.331989, 114.197832 22.332026, 114.197945 22.332112, 114.198023 22.332165, 114.198103 22.33222, 114.198165 22.332258, 114.198259 22.332316)"
2167,1302,1246,4844265425,2873992839,0,532458741,協調道 Concorde Road,secondary,True,26.464,1,,,,,,"LINESTRING (114.197278 22.33167, 114.197328 22.331643, 114.197374 22.331598, 114.197403 22.331543, 114.197412 22.331482)"
2168,1303,512,4844611313,990120079,0,1193780175,太子道西 Prince Edward Road West,tertiary,True,14.532,2,,,,,,"LINESTRING (114.185718 22.327202, 114.185744 22.327226, 114.185771 22.327246, 114.185794 22.327264, 114.185828 22.327283)"
