grid_id,x_hk80,y_hk80,lon,lat,node_id,snap_dist_m,valid_origin,reachable,nearest_hospital_id,nearest_hospital,nearest_hospital_tc,distance_m,distance_km
0,833050.0,816050.0,114.14564856056083,22.28332882952104,74,718.5247305526372,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
1,833150.0,816050.0,114.14661890812812,22.283329012974107,74,717.2977024105726,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
2,833250.0,816050.0,114.14758925570574,22.283329190627537,74,729.9001297103823,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
3,833350.0,816050.0,114.14855960329342,22.283329362481332,74,755.6403938507917,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
4,833450.0,816050.0,114.14952995089084,22.283329528535514,74,793.2405752901992,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
5,833550.0,816050.0,114.15050029849766,22.28332968879006,74,841.1116547489238,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
6,833650.0,816050.0,114.15147064611354,22.283329843244974,74,897.6118432943158,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
7,833750.0,816050.0,114.15244099373821,22.283329991900267,74,961.2206961410922,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
8,833850.0,816050.0,114.1534113413713,22.28333013475592,74,1030.622837005717,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
9,833950.0,816050.0,114.15438168901252,22.28333027181196,74,1104.7269516154022,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
10,834050.0,816050.0,114.15535203666154,22.28333040306837,74,1182.6495013710553,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
11,834150.0,816050.0,114.15632238431807,22.283330528525145,74,1263.684315231044,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
12,834250.0,816050.0,114.15729273198176,22.28333064818229,74,1347.2699261947098,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
13,834350.0,816050.0,114.15826307965229,22.283330762039807,74,1432.9600341588196,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
14,834450.0,816050.0,114.15923342732934,22.283330870097696,74,1520.3988506192024,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
15,834550.0,816050.0,114.16020377501259,22.28333097235595,1371,1477.9573891615073,True,False,-1,,,,
16,834650.0,816050.0,114.16117412270175,22.28333106881458,1371,1418.7144476392223,True,False,-1,,,,
17,834750.0,816050.0,114.16214447039644,22.283331159473576,1371,1364.23726811117,True,False,-1,,,,
18,834850.0,816050.0,114.1631148180964,22.283331244332945,1371,1315.1182317444284,True,False,-1,,,,
19,834950.0,816050.0,114.16408516580131,22.283331323392687,1371,1271.9782243536076,True,False,-1,,,,
20,835050.0,816050.0,114.16505551351078,22.283331396652788,1371,1235.4437433541525,True,False,-1,,,,
21,835150.0,816050.0,114.16602586122457,22.28333146411327,1371,1206.1152029371344,True,False,-1,,,,
22,835250.0,816050.0,114.16699620894232,22.28333152577412,1371,1184.5279745617026,True,False,-1,,,,
23,835350.0,816050.0,114.16796655666371,22.283331581635334,1371,1171.1102263589084,True,False,-1,,,,
24,835450.0,816050.0,114.16893690438843,22.28333163169691,1371,1166.1439885561208,True,False,-1,,,,
25,835550.0,816050.0,114.16990725211618,22.283331675958863,1371,1169.736911364578,True,False,-1,,,,
26,835650.0,816050.0,114.1708775998466,22.283331714421198,1371,1181.8109330903599,True,False,-1,,,,
27,835750.0,816050.0,114.17184794757938,22.283331747083874,395,1165.7960583000377,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
28,835850.0,816050.0,114.17281829531424,22.28333177394694,395,1066.652205336166,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
29,835950.0,816050.0,114.17378864305081,22.283331795010373,395,967.6845584947132,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
30,836050.0,816050.0,114.1747589907888,22.283331810274166,395,868.9533257601984,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
31,836150.0,816050.0,114.17572933852787,22.283331819738343,395,770.5493883913679,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
32,836250.0,816050.0,114.17669968626772,22.28333182340288,395,672.6164118953035,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
33,836350.0,816050.0,114.17767003400803,22.28333182126778,395,575.3949210338184,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
34,836450.0,816050.0,114.17864038174845,22.28333181333306,395,479.3180496832093,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
35,836550.0,816050.0,114.1796107294887,22.283331799598702,395,385.2431314802602,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
36,836650.0,816050.0,114.18058107722841,22.283331780064717,395,295.09108416439585,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
37,836750.0,816050.0,114.18155142496732,22.283331754731094,395,213.88133521632983,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
38,836850.0,816050.0,114.18252177270509,22.283331723597843,395,156.2424499120567,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
39,836950.0,816050.0,114.18349212044139,22.283331686664962,394,150.25483322784518,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
40,837050.0,816050.0,114.18446246817588,22.28333164393245,394,197.15648703791175,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
41,837150.0,816050.0,114.18543281590827,22.28333159540031,394,274.1620795331349,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
42,837250.0,816050.0,114.18640316363825,22.283331541068538,394,362.572766940287,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
43,837350.0,816050.0,114.18737351136548,22.28333148093713,394,455.7994918816149,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
44,837450.0,816050.0,114.18834385908964,22.283331415006096,394,551.404880530034,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
45,837550.0,816050.0,114.18931420681042,22.283331343275425,394,648.3374952485348,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
46,837650.0,816050.0,114.1902845545275,22.283331265745137,394,746.0802056199766,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
