node_id,harmonic_access,reachable_count,reachable_share,lon,lat,osm_id,access_rank,access_pct
0,0.5193368329653338,1636,0.9445727482678984,114.1723211,22.2947802,30747332,620,0.6428159261396422
1,0.42018116865085187,1636,0.9445727482678984,114.1721995,22.296485,30747334,1232,0.2896710905943451
2,0.6047612753327777,1636,0.9445727482678984,114.1710946,22.310275,33004487,257,0.8522792844777842
3,0.7624817571218523,1636,0.9445727482678984,114.1707203,22.3129647,33004488,11,0.9942296595499135
4,0.41289882453668386,1636,0.9445727482678984,114.16936,22.2988324,33004530,1264,0.27120600115406807
5,0.46803784717101693,1636,0.9445727482678984,114.1679667,22.3014436,33004534,954,0.4500865551067513
6,0.4972465520854528,1636,0.9445727482678984,114.1784272,22.2977677,33004677,752,0.5666474321984997
7,0.6127851333698354,1636,0.9445727482678984,114.1679567,22.3030232,33476495,231,0.8672821696480092
8,0.5754860370542797,1636,0.9445727482678984,114.1675993,22.3044393,33476497,363,0.7911136757068667
9,0.6835792917882608,1636,0.9445727482678984,114.1668472,22.3058563,33476500,62,0.964800923254472
10,0.4517684458955489,1636,0.9445727482678984,114.1670616,22.3065045,33476501,1063,0.3871898442008078
11,0.46362245917538675,1636,0.9445727482678984,114.1753023,22.2954779,33476508,991,0.42873629544143105
12,0.4474947399252652,1636,0.9445727482678984,114.1748954,22.2952697,33476510,1093,0.3698788228505482
13,0.4328312993819177,1636,0.9445727482678984,114.1713365,22.294724,33476549,1169,0.32602423542989034
14,0.4977132772485698,1636,0.9445727482678984,114.1781156,22.32696,245088222,750,0.5678015002885171
15,0.35927863491532663,1636,0.9445727482678984,114.1587724,22.3274542,274243013,1467,0.15406809001731103
16,0.465584719489946,1636,0.9445727482678984,114.1622524,22.3249209,274243016,977,0.4368147720715522
17,0.48334394444963097,1636,0.9445727482678984,114.1673946,22.3117971,274243086,848,0.5112521638776688
18,0.5307742375528585,1636,0.9445727482678984,114.1678659,22.3096922,274243087,546,0.6855164454702828
19,0.4271839616611586,1636,0.9445727482678984,114.154246,22.3310169,275816026,1195,0.3110213502596653
20,0.5005393159031392,1636,0.9445727482678984,114.1587839,22.3275985,275909450,739,0.5741488747836122
21,0.5019396060559038,1636,0.9445727482678984,114.1664541,22.3311815,275922253,726,0.5816503173687247
22,0.36719987683081357,1636,0.9445727482678984,114.1749214,22.3299504,275924540,1446,0.1661858049624928
23,0.39053821714646697,1636,0.9445727482678984,114.1744266,22.3289764,275935761,1362,0.21465666474321984
24,0.4433424955316454,1636,0.9445727482678984,114.1720562,22.3273509,275935771,1114,0.3577611079053664
25,0.5353894933746526,1636,0.9445727482678984,114.164835,22.3280008,275943901,530,0.6947489901904212
26,0.48462715376079485,1636,0.9445727482678984,114.1718679,22.3156488,275945418,839,0.5164454702827467
27,0.5915261056022707,1636,0.9445727482678984,114.1720243,22.3179153,275945538,300,0.827466820542412
28,0.5708133554725093,1636,0.9445727482678984,114.1710549,22.3224019,275945763,378,0.7824581650317368
29,0.45626725031064563,1636,0.9445727482678984,114.1908856,22.3176925,275948630,1037,0.4021927293710329
30,0.4839955563044574,1636,0.9445727482678984,114.1878267,22.322802,275949265,843,0.514137334102712
31,0.32412995991851756,1636,0.9445727482678984,114.1820916,22.2993992,276169638,1549,0.10675129832660127
32,0.47121994466369943,1636,0.9445727482678984,114.1810483,22.3144314,276169900,932,0.46278130409694174
33,0.4413689858885508,1636,0.9445727482678984,114.178846,22.3269956,276169958,1124,0.35199076745527985
34,0.5789635910527073,1636,0.9445727482678984,114.1701439,22.3088662,276372740,344,0.8020773225620311
35,0.7226176528530646,1636,0.9445727482678984,114.1689849,22.312658,276372857,31,0.9826889786497404
36,0.595974050233282,1636,0.9445727482678984,114.1701052,22.3128531,276373355,292,0.8320830929024813
37,0.5452122444333093,1637,0.9451501154734411,114.1721924,22.3171476,276377951,483,0.7218695903058281
38,0.3437206112226064,1636,0.9445727482678984,114.1869798,22.3154851,276378619,1511,0.1286785920369302
39,0.5165355906646334,1636,0.9445727482678984,114.1572093,22.3276159,278947783,637,0.6330063473744951
40,0.7534890787914585,1636,0.9445727482678984,114.1670005,22.3122444,278948068,14,0.9924985574148875
41,0.5197846933089804,1636,0.9445727482678984,114.1616453,22.3075206,278949226,617,0.6445470282746683
42,0.43117166555567843,1636,0.9445727482678984,114.1628465,22.3068109,278949231,1175,0.32256203115983845
43,0.40330084141872663,1636,0.9445727482678984,114.1594149,22.3032513,278950460,1305,0.24754760530871323
44,0.3771393263960758,1636,0.9445727482678984,114.1596727,22.3030064,278950461,1407,0.18869013271783036
45,0.47364070263294394,1636,0.9445727482678984,114.1606837,22.3076826,278951217,917,0.47143681477207156
46,0.477311637057403,1636,0.9445727482678984,114.1617719,22.3071931,278951219,888,0.48817080207732255
47,0.3246063680468245,1636,0.9445727482678984,114.1604203,22.3051844,278951444,1548,0.10732833237160992
48,0.3925448197269671,1636,0.9445727482678984,114.1594502,22.3028812,278951704,1357,0.21754183496826313
49,0.0,0,0.0,114.1530329,22.3262601,279077145,1665,0.020196191575302943
50,0.18841051172941795,1640,0.9468822170900693,114.1461329,22.2898986,288176867,1627,0.06174264281592614
51,0.5523628486489818,1636,0.9445727482678984,114.1627874,22.3181394,288991742,451,0.740334679746105
52,0.4177590656894779,1636,0.9445727482678984,114.1634229,22.3180822,288991776,1247,0.2810155799192152
53,0.6228545974103286,1636,0.9445727482678984,114.1660608,22.318712,288991796,202,0.8840161569532602
54,0.5781653951706407,1636,0.9445727482678984,114.1630542,22.3188051,288991961,349,0.7991921523369879
55,0.5511599768729628,1636,0.9445727482678984,114.1598754,22.3194714,288994875,457,0.7368724754760531
56,0.5656422833431959,1636,0.9445727482678984,114.1593632,22.3232675,288994882,397,0.7714945181765724
57,0.5869872757681189,1636,0.9445727482678984,114.1576938,22.3211585,288995089,317,0.8176572417772648
58,0.6211592270600713,1636,0.9445727482678984,114.1574572,22.3214978,288995220,208,0.8805539526832084
59,0.43263743886159634,1636,0.9445727482678984,114.1566572,22.317492,288995381,1170,0.3254472013848817
60,0.3127187228668934,1636,0.9445727482678984,114.1552665,22.3234337,288996506,1564,0.09809578765147144
61,0.5024817808684313,1636,0.9445727482678984,114.1559847,22.3260954,288996662,720,0.5851125216387767
62,0.49326195727151534,1636,0.9445727482678984,114.1565829,22.3269464,288997665,783,0.5487593768032314
63,0.44232007624724423,1636,0.9445727482678984,114.1569586,22.3290211,288998754,1119,0.35487593768032316
64,0.5510058581588536,1636,0.9445727482678984,114.1578452,22.3283292,288998755,459,0.7357184073860358
65,0.3576772846742193,1637,0.9451501154734411,114.1535899,22.330233,289293757,1473,0.15060588574725908
66,0.32136284573713925,1637,0.9451501154734411,114.1523072,22.3325094,289294087,1554,0.10386612810155799
67,0.0,0,0.0,114.1522158,22.3323988,289294146,1665,0.020196191575302943
68,0.40204309010913586,1636,0.9445727482678984,114.1554973,22.3324124,289329905,1312,0.24350836699365264
69,0.0,0,0.0,114.1547755,22.3329575,289329943,1665,0.020196191575302943
70,0.3075115633635722,1637,0.9451501154734411,114.1537149,22.3264895,289337013,1567,0.09636468551644548
71,0.3470731007452672,1636,0.9445727482678984,114.1556568,22.3247578,289337297,1502,0.13387189844200809
72,0.37878434608785994,1636,0.9445727482678984,114.1567064,22.3235546,289337299,1404,0.1904212348528563
73,0.4122947421875436,1636,0.9445727482678984,114.1584933,22.3216284,289337490,1269,0.2683208309290248
74,0.0,0,0.0,114.1462178,22.2897959,297910474,1665,0.020196191575302943
75,0.6003626049219228,1636,0.9445727482678984,114.1680169,22.3149736,308473171,272,0.8436237738026544
76,0.6134458656378083,1636,0.9445727482678984,114.1685012,22.3150669,308473172,226,0.8701673398730525
77,0.615230326584618,1636,0.9445727482678984,114.1689561,22.315141,308473173,219,0.8742065781881131
78,0.564610875784167,1636,0.9445727482678984,114.1695449,22.3152511,308473175,403,0.7680323139065205
79,0.51734339330118,1636,0.9445727482678984,114.1683196,22.3135053,308473176,632,0.6358915175995383
80,0.5413250081027503,1636,0.9445727482678984,114.1688045,22.313588,308473177,504,0.7097518753606463
81,0.6046438577780989,1636,0.9445727482678984,114.1692614,22.3136721,308473178,258,0.8517022504327756
82,0.6465162600818386,1636,0.9445727482678984,114.1698428,22.3137803,308473179,139,0.9203693017888055
83,0.6489802682136677,1636,0.9445727482678984,114.1694498,22.3127358,308473180,135,0.9226774379688402
84,0.5660657864098998,1636,0.9445727482678984,114.1675907,22.3171141,308473181,395,0.7726485862665897
85,0.5757971327108574,1636,0.9445727482678984,114.1680551,22.3172,308473182,361,0.792267743796884
86,0.6152328093683788,1636,0.9445727482678984,114.1685003,22.3172869,308473183,218,0.8747836122331217
87,0.5806550153919643,1636,0.9445727482678984,114.1690783,22.3173955,308473185,340,0.8043854587420658
88,0.57713143956807,1636,0.9445727482678984,114.170358,22.3176083,308473186,358,0.79399884593191
89,0.5773672156330647,1636,0.9445727482678984,114.1672039,22.318917,308473189,356,0.7951529140219273
90,0.6717790793011184,1636,0.9445727482678984,114.1676802,22.3190063,308473190,89,0.9492210040392384
91,0.6254134951196207,1636,0.9445727482678984,114.1681318,22.3190943,308473191,196,0.8874783612233121
92,0.6057066620991917,1636,0.9445727482678984,114.1686727,22.3191848,308473192,254,0.8540103866128101
93,0.5374114510267123,1636,0.9445727482678984,114.1702382,22.3153655,308473419,521,0.6999422965954991
94,0.6238395710837368,1636,0.9445727482678984,114.1705303,22.3139011,308473420,200,0.8851702250432776
95,0.6035967927964602,1636,0.9445727482678984,114.1697992,22.3175012,308473422,261,0.8499711482977496
96,0.6947548642704763,1636,0.9445727482678984,114.1694289,22.3193121,308473424,51,0.9711482977495672
97,0.5582190230537726,1636,0.9445727482678984,114.1701722,22.3184397,308473426,432,0.7512983266012695
98,0.5383696862874311,1637,0.9451501154734411,114.1707291,22.3185465,308473427,515,0.7034045008655511
99,0.5362490472046223,1636,0.9445727482678984,114.1705175,22.3223275,308473546,528,0.6959030582804385
100,0.41664423915310833,1636,0.9445727482678984,114.1914484,22.328839,308473861,1252,0.27813040969417197
101,0.33519927395328275,1636,0.9445727482678984,114.1925262,22.3312909,308473862,1530,0.11771494518176573
102,0.45871590826191916,1636,0.9445727482678984,114.1614536,22.3322118,308475224,1026,0.4085401038661281
103,0.0,0,0.0,114.1622577,22.3331118,308475675,1665,0.020196191575302943
104,0.005004005906888701,1,0.0005773672055427252,114.1631195,22.3324479,308475679,1653,0.0467397576457011
105,0.004091320900954685,1,0.0005773672055427252,114.1686107,22.3063771,308778508,1656,0.04500865551067513
106,0.0,0,0.0,114.1689468,22.3076075,308778515,1665,0.020196191575302943
107,0.5228691823187527,1636,0.9445727482678984,114.1690993,22.3082077,308778516,601,0.6537795729948067
108,0.27857941793804997,1636,0.9445727482678984,114.1766448,22.3276169,316731592,1601,0.07674552798615118
109,0.0,0,0.0,114.1771122,22.3301488,316731595,1665,0.020196191575302943
110,0.6727092349140416,1636,0.9445727482678984,114.1604939,22.3262772,331258075,86,0.9509521061742643
111,0.5910492260574941,1636,0.9445727482678984,114.1619004,22.3252108,331258761,304,0.8251586843623774
112,0.5167809000874329,1636,0.9445727482678984,114.1687862,22.3224821,331269944,635,0.6341604154645124
113,0.6112674209854972,1636,0.9445727482678984,114.1678205,22.3228573,331269982,235,0.8649740334679746
114,0.5773251301063285,1636,0.9445727482678984,114.1620905,22.326252,331271265,357,0.7945758799769186
115,0.5091591002539969,1636,0.9445727482678984,114.1623842,22.3194107,332227469,681,0.6076168493941142
116,0.4701611212262559,1636,0.9445727482678984,114.1620652,22.3179532,332228049,937,0.4598961338718984
117,0.512702480978537,1636,0.9445727482678984,114.1611738,22.3175995,332228052,658,0.6208886324293134
118,0.486812683872883,1636,0.9445727482678984,114.1607523,22.3175839,332228053,824,0.5251009809578765
119,0.48247201434096587,1636,0.9445727482678984,114.1610049,22.3178523,332228056,855,0.5072129255626082
120,0.5698666355019222,1636,0.9445727482678984,114.1619805,22.3194603,332230895,383,0.7795729948066936
121,0.5535487303454878,1636,0.9445727482678984,114.1632062,22.3186267,332231811,446,0.7432198499711483
122,0.5637213731351537,1636,0.9445727482678984,114.163129,22.3183111,332231898,405,0.7668782458165032
123,0.5195474170485833,1636,0.9445727482678984,114.1630453,22.3182686,332231899,619,0.6433929601846509
