tpusb,connector_order,node_id,weight,selection,rep_snap_dist_m,node_x_hk80,node_y_hk80
113002,1,74,0.3333333333333333,nearest,255.69245984439806,833108.8089726613,816766.1140224505
113002,2,1608,0.3333333333333333,nearest,2233.0556317989867,834423.4307781752,818324.6445673074
113002,3,170,0.3333333333333333,nearest,1950.5526109204022,834240.9791719719,818107.7162556426
113003,1,74,0.3333333333333333,nearest,466.9712945379373,833108.8089726613,816766.1140224505
113003,2,1608,0.3333333333333333,nearest,2078.3655739508017,834423.4307781752,818324.6445673074
113003,3,170,0.3333333333333333,nearest,1803.172016463984,834240.9791719719,818107.7162556426
113004,1,74,0.3333333333333333,nearest,570.776695700125,833108.8089726613,816766.1140224505
113004,2,1371,0.3333333333333333,nearest,1999.0900710644144,835458.0368011842,817216.1162943173
113004,3,170,0.3333333333333333,nearest,1752.2225678570721,834240.9791719719,818107.7162556426
113005,1,74,0.3333333333333333,nearest,305.2305670102238,833108.8089726613,816766.1140224505
113005,2,1608,0.3333333333333333,nearest,2283.7819658109856,834423.4307781752,818324.6445673074
113005,3,170,0.3333333333333333,nearest,2001.442776503957,834240.9791719719,818107.7162556426
113006,1,74,0.3333333333333333,nearest,313.2095227002796,833108.8089726613,816766.1140224505
113006,2,1608,0.3333333333333333,nearest,2174.8072948477998,834423.4307781752,818324.6445673074
113006,3,170,0.3333333333333333,nearest,1894.215749111096,834240.9791719719,818107.7162556426
113007,1,74,0.3333333333333333,nearest,397.5261717686695,833108.8089726613,816766.1140224505
113007,2,1608,0.3333333333333333,nearest,2134.0490082607075,834423.4307781752,818324.6445673074
113007,3,170,0.3333333333333333,nearest,1856.0967843510048,834240.9791719719,818107.7162556426
113008,1,74,0.3333333333333333,nearest,599.3907528457435,833108.8089726613,816766.1140224505
113008,2,291,0.3333333333333333,nearest,2052.1828160044934,835458.1814007995,817222.5388783141
113008,3,170,0.3333333333333333,nearest,1835.2697666640656,834240.9791719719,818107.7162556426
113009,1,74,0.3333333333333333,nearest,454.7273270439492,833108.8089726613,816766.1140224505
113009,2,1608,0.3333333333333333,nearest,2393.988449125633,834423.4307781752,818324.6445673074
113009,3,170,0.3333333333333333,nearest,2113.132193600779,834240.9791719719,818107.7162556426
113010,1,74,0.3333333333333333,nearest,441.7487621298796,833108.8089726613,816766.1140224505
113010,2,1608,0.3333333333333333,nearest,2341.910895812736,834423.4307781752,818324.6445673074
113010,3,170,0.3333333333333333,nearest,2061.876339818467,834240.9791719719,818107.7162556426
113011,1,74,0.3333333333333333,nearest,433.0896496035705,833108.8089726613,816766.1140224505
113011,2,1608,0.3333333333333333,nearest,2273.947973899695,834423.4307781752,818324.6445673074
113011,3,170,0.3333333333333333,nearest,1995.032304890571,834240.9791719719,818107.7162556426
113012,1,74,0.3333333333333333,nearest,404.3099853611372,833108.8089726613,816766.1140224505
113012,2,1608,0.3333333333333333,nearest,2183.1384283866273,834423.4307781752,818324.6445673074
113012,3,170,0.3333333333333333,nearest,1904.8150590163161,834240.9791719719,818107.7162556426
113013,1,74,0.3333333333333333,nearest,539.3951519852627,833108.8089726613,816766.1140224505
113013,2,1371,0.3333333333333333,nearest,2177.8875466300397,835458.0368011842,817216.1162943173
113013,3,170,0.3333333333333333,nearest,1919.9828718674391,834240.9791719719,818107.7162556426
113014,1,74,0.3333333333333333,nearest,634.747151978436,833108.8089726613,816766.1140224505
113014,2,291,0.3333333333333333,nearest,2099.4096028917224,835458.1814007995,817222.5388783141
113014,3,170,0.3333333333333333,nearest,1910.8522304825194,834240.9791719719,818107.7162556426
113015,1,74,0.3333333333333333,nearest,541.8171792259317,833108.8089726613,816766.1140224505
113015,2,1371,0.3333333333333333,nearest,2294.5340429173875,835458.0368011842,817216.1162943173
113015,3,170,0.3333333333333333,nearest,2023.1819028203656,834240.9791719719,818107.7162556426
113016,1,74,0.3333333333333333,nearest,555.453837928802,833108.8089726613,816766.1140224505
113016,2,1371,0.3333333333333333,nearest,2212.590971891364,835458.0368011842,817216.1162943173
113016,3,170,0.3333333333333333,nearest,1962.8896717647249,834240.9791719719,818107.7162556426
113017,1,74,0.3333333333333333,nearest,620.0426284726611,833108.8089726613,816766.1140224505
113017,2,291,0.3333333333333333,nearest,2150.2547234659132,835458.1814007995,817222.5388783141
113017,3,170,0.3333333333333333,nearest,1948.5588384373152,834240.9791719719,818107.7162556426
113018,1,74,0.3333333333333333,nearest,596.7973058380925,833108.8089726613,816766.1140224505
113018,2,1608,0.3333333333333333,nearest,2611.1771371798804,834423.4307781752,818324.6445673074
113018,3,170,0.3333333333333333,nearest,2328.5467193083523,834240.9791719719,818107.7162556426
113019,1,74,0.3333333333333333,nearest,571.5602663965499,833108.8089726613,816766.1140224505
113019,2,1371,0.3333333333333333,nearest,2330.6097602579043,835458.0368011842,817216.1162943173
113019,3,170,0.3333333333333333,nearest,2070.529925868625,834240.9791719719,818107.7162556426
113020,1,74,0.3333333333333333,nearest,657.5539376947785,833108.8089726613,816766.1140224505
113020,2,291,0.3333333333333333,nearest,2213.380998109373,835458.1814007995,817222.5388783141
113020,3,170,0.3333333333333333,nearest,2029.8444609721496,834240.9791719719,818107.7162556426
113021,1,74,0.3333333333333333,nearest,602.7823277528997,833108.8089726613,816766.1140224505
113021,2,1371,0.3333333333333333,nearest,2401.277569816128,835458.0368011842,817216.1162943173
113021,3,170,0.3333333333333333,nearest,2141.7058490194345,834240.9791719719,818107.7162556426
113022,1,74,0.3333333333333333,nearest,694.1839151844391,833108.8089726613,816766.1140224505
113022,2,291,0.3333333333333333,nearest,2281.833688021582,835458.1814007995,817222.5388783141
113022,3,170,0.3333333333333333,nearest,2109.022188241598,834240.9791719719,818107.7162556426
113023,1,74,0.3333333333333333,nearest,778.0092305435747,833108.8089726613,816766.1140224505
113023,2,1528,0.3333333333333333,nearest,2231.5033466058667,835519.0446427938,817286.2634615004
113023,3,170,0.3333333333333333,nearest,2054.452290912909,834240.9791719719,818107.7162556426
113024,1,74,0.3333333333333333,nearest,652.9036168934509,833108.8089726613,816766.1140224505
113024,2,1371,0.3333333333333333,nearest,2488.9842556116687,835458.0368011842,817216.1162943173
113024,3,170,0.3333333333333333,nearest,2230.9882972021665,834240.9791719719,818107.7162556426
113025,1,74,0.3333333333333333,nearest,735.5235756741084,833108.8089726613,816766.1140224505
