zone_od_id,origin_tpusb,destination_tpusb,main_mode,sample_flow,expanded_hk_flow,road_factor,road_proxy_flow,kish_neff,origin_26PDD,origin_26PDD_name,destination_26PDD,destination_26PDD_name
470,221097,266018,6,1,288.4362,1.0,288.4362,1.0,6,Mong Kok,7,Sham Shui Po
471,221098,225081,5,2,1752.3432,1.0,1752.3432,1.942627884227,6,Mong Kok,5,Yau Ma Tei
472,222002,233011,6,1,300.1926,1.0,300.1926,1.0,6,Mong Kok,8,Kowloon City
473,222003,253014,9,1,82.9102,1.0,82.9102,1.0,6,Mong Kok,5,Yau Ma Tei
474,222003,254006,5,1,90.585,1.0,90.585,1.0,6,Mong Kok,7,Sham Shui Po
475,222003,266030,9,1,221.8317,1.0,221.8317,1.0,6,Mong Kok,7,Sham Shui Po
476,222005,225084,6,2,834.4429,1.0,834.4429,1.840682491404,6,Mong Kok,5,Yau Ma Tei
477,222006,263011,7,1,260.2084,1.0,260.2084,1.0,6,Mong Kok,7,Sham Shui Po
478,222006,271037,7,2,640.6027,1.0,640.6027,1.999123171622,6,Mong Kok,8,Kowloon City
479,222009,220026,7,2,571.4307,1.0,571.4307,1.924474949888,6,Mong Kok,5,Yau Ma Tei
480,222009,236023,7,1,56.1357,1.0,56.1357,1.0,6,Mong Kok,8,Kowloon City
481,222010,225084,7,1,1665.7134,1.0,1665.7134,1.0,6,Mong Kok,5,Yau Ma Tei
482,222010,229044,6,1,332.6442,1.0,332.6442,1.0,6,Mong Kok,6,Mong Kok
483,222010,271038,8,1,2882.0328,1.0,2882.0328,1.0,6,Mong Kok,8,Kowloon City
484,222011,226007,1|9,2,1156.0028,0.11645767721491501,134.62540094193795,1.942442312397,6,Mong Kok,5,Yau Ma Tei
485,222012,242001,6,1,70.2425,1.0,70.2425,1.0,6,Mong Kok,8,Kowloon City
486,222012,244002,6,1,72.7562,1.0,72.7562,1.0,6,Mong Kok,8,Kowloon City
487,222012,266025,6,1,255.5937,1.0,255.5937,1.0,6,Mong Kok,7,Sham Shui Po
488,222013,236023,6,2,565.6129,1.0,565.6129,1.999999986131,6,Mong Kok,8,Kowloon City
489,222013,243001,5,1,659.0503,1.0,659.0503,1.0,6,Mong Kok,8,Kowloon City
490,222013,244020,6,1,72.7562,1.0,72.7562,1.0,6,Mong Kok,8,Kowloon City
491,222015,237003,5,1,190.2346,1.0,190.2346,1.0,6,Mong Kok,8,Kowloon City
492,222016,265018,7,1,373.9871,1.0,373.9871,1.0,6,Mong Kok,7,Sham Shui Po
493,222016,284026,6,1,81.5688,1.0,81.5688,1.0,6,Mong Kok,10,Wong Tai Sin
494,222017,226018,9,2,418.105,1.0,418.105,2.0,6,Mong Kok,5,Yau Ma Tei
495,222018,229001,5,1,1480.1724,1.0,1480.1724,1.0,6,Mong Kok,6,Mong Kok
496,222018,236009,6,1,73.1502,1.0,73.1502,1.0,6,Mong Kok,8,Kowloon City
497,222018,242003,8,2,1751.4307,1.0,1751.4307,1.960983443434,6,Mong Kok,8,Kowloon City
498,222018,254010,7,1,633.6297,1.0,633.6297,1.0,6,Mong Kok,7,Sham Shui Po
499,222018,261019,7,1,118.3468,1.0,118.3468,1.0,6,Mong Kok,7,Sham Shui Po
500,222018,266010,6,1,92.6793,1.0,92.6793,1.0,6,Mong Kok,7,Sham Shui Po
501,222018,266038,6,1,93.0563,1.0,93.0563,1.0,6,Mong Kok,7,Sham Shui Po
502,222018,285003,9,1,110.1346,1.0,110.1346,1.0,6,Mong Kok,8,Kowloon City
503,222019,227023,6,1,102.997,1.0,102.997,1.0,6,Mong Kok,6,Mong Kok
504,222019,237003,5,1,180.316,1.0,180.316,1.0,6,Mong Kok,8,Kowloon City
505,222020,264044,6,1,88.4198,1.0,88.4198,1.0,6,Mong Kok,7,Sham Shui Po
506,222023,268033,6,1,157.221,1.0,157.221,1.0,6,Mong Kok,7,Sham Shui Po
507,222024,237003,5,1,817.2446,1.0,817.2446,1.0,6,Mong Kok,8,Kowloon City
508,222025,234023,8,1,954.0404,1.0,954.0404,1.0,6,Mong Kok,8,Kowloon City
