tpusb,rep_lon,rep_lat,area_m2
113002,114.1463369911784,22.287489497550183,10251.48549985776
113003,114.14976599288065,22.287172979603078,29504.63192347207
113004,114.15099194872857,22.28718268270425,7721.9903360216
113005,114.14616688784076,22.287039765649727,26759.49133764724
113006,114.14764735421869,22.287299918151728,7201.69575883636
113007,114.14876828127277,22.287102614352406,10799.49243130886
113008,114.15079058065216,22.28645078040396,7570.142066972807
113009,114.14639992059541,22.285692801500417,38039.637319657646
113010,114.1470303033123,22.285878867151105,5336.840085792043
113011,114.1477904262035,22.286169178802588,14602.017287571409
113012,114.14842264249731,22.286775695351878,7265.213231462101
113013,114.14960421252277,22.286081725553334,7870.60415836143
113014,114.15061542405243,22.28578235415432,6100.461858745469
113015,114.14865978727852,22.285462735702925,8030.201873895573
113016,114.149395410129,22.285744313603786,6425.506957507014
113017,114.15017400384147,22.285577173204153,3653.645560152064
113018,114.14410391581904,22.284778560000277,41989.944589509614
113019,114.14846320253685,22.285076259002903,10017.673712732125
113020,114.14984355033778,22.28490961910411,11295.247358470253
113021,114.1479472944759,22.284595784102645,15578.291862963404
113022,114.14943971555937,22.28429054920401,9784.48090711334
113023,114.15092587380255,22.284303454804643,10213.005733291573
113024,114.14731663449847,22.28398893625163,24881.797820120628
113025,114.1490613443921,22.283703571653916,6646.206856644085
113026,114.14931687874193,22.288939532953034,36936.608857171894
113028,114.14429190915641,22.287439545748967,11216.298512574547
114003,114.15201654592676,22.286897727555214,9572.170509821757
114004,114.15298256018673,22.286628391556125,5662.203939667768
114005,114.15383641263534,22.28632024945696,7390.670312709561
114006,114.15458309395814,22.28584944495776,6894.299277672028
114007,114.1555595570712,22.28524146095834,11374.979750994287
114008,114.15157703529025,22.286229502455086,6673.244660768119
114009,114.15266675899284,22.28619910315596,8394.319377315174
114010,114.15212263788976,22.285905883705666,2198.141257483262
114014,114.15118494021887,22.28546172875471,6736.089224767927
114015,114.15176805298759,22.28552074050563,3813.490249970558
114016,114.15226788725917,22.285394380406263,4391.666296680626
114017,114.15082604935151,22.284921980454975,4018.9925009018407
114018,114.15186786747111,22.284921195306097,5275.461264929571
114019,114.15233786966152,22.284620270405533,12471.265789246281
114020,114.15383168356212,22.284258764257952,6846.759995177463
114021,114.15225081845968,22.28397303455709,8086.651297546412
114022,114.1533933628352,22.28389376715749,5943.622201938904
114023,114.15063182542673,22.283797868255803,8959.763607083163
114024,114.15181343257355,22.283365075805904,7920.486323969701
114025,114.15290191882264,22.28341317990725,5330.748325385643
114026,114.1537244985487,22.283464041957927,3051.6894259159803
114027,114.15003101021432,22.283128915054192,14066.284050545893
114028,114.15115510887267,22.282783029556022,9712.611665031185
114029,114.15222860278148,22.282934502756852,4698.089019668702
114031,114.15319226881059,22.282945984457456,2864.130186211856
114032,114.15317520186386,22.285394380406263,11838.276537441692
114033,114.15399037786239,22.28514385075754,9585.821035042192
114034,114.15482761333777,22.284819082658906,17985.97604623958
115001,114.14433796874107,22.2884048264482,9792.89212303256
115002,114.14538153575259,22.288235123949146,9279.447573516472
115003,114.14655214820468,22.28814655805014,12657.090495337574
115004,114.14745808591388,22.287967391001196,5312.21125166763
115006,114.14787090910946,22.289093488300903,15753.34300769509
115007,114.14558972491355,22.289128968597467,74207.43744147902
121002,114.1561793385674,22.284578387959193,4739.663651016418
121003,114.15657983339136,22.28413446416007,6210.535385595482
121004,114.15705426808489,22.283558505261148,7546.242820083353
121005,114.15530299301018,22.283943760208714,6761.44608106171
121006,114.15568927359004,22.283700646159488,4308.825987606757
121007,114.1558392289123,22.283425289309744,3440.0370601123977
121008,114.15608885682099,22.283233613909992,4284.206676800746
121009,114.15631105056258,22.28296116951029,4486.240534647616
121017,114.1520040582005,22.28839536015363,50681.99713970816
121019,114.15923104834437,22.286315708359048,158490.1746679936
121020,114.15814467542077,22.285376463660945,60051.948613078974
121021,114.15830986663164,22.28355261476235,32528.200952114534
122009,114.15398331832145,22.28300643110827,5002.519438291497
122010,114.15436112100667,22.28350122390828,2130.197678407365
122011,114.15464296620354,22.28369708265859,2297.7753627631773
122013,114.15482672487104,22.282933226959056,3278.3611958525835
122014,114.15514743564506,22.28315139240948,3769.18374720805
123001,114.16129394849347,22.28448902286543,179742.9442782355
123002,114.15775525406589,22.282735610962064,11649.738879314113
124001,114.16472500002638,22.281736368915837,156741.70115840976
124016,114.16950085408658,22.282630651922187,35206.43812022177
134006,114.17294021624707,22.282775343575576,141008.46955924554
135005,114.18097121496928,22.282465955929787,55769.28046713483
135006,114.17634744041439,22.282729982875765,42299.79395005876
141010,114.14332636053206,22.28378192924982,21652.063255047582
141011,114.14362369666009,22.284176663549502,25123.173536470338
141013,114.14396674075387,22.283019575249405,14138.277060662827
142002,114.14693559234266,22.282844223303556,36752.453210074425
142003,114.1496926467093,22.282741595204335,17429.435415781314
146040,114.18543665765537,22.2829689910341,24108.798337490545
147001,114.19024109694443,22.285460206638234,27920.951471319975
147002,114.1888214733526,22.28240215898584,219415.2435075616
147003,114.18273951486361,22.283027797933084,17414.060589952114
147004,114.18255520341697,22.28412222633133,25700.324867748852
147005,114.18837703311101,22.287453151135605,2976.4748473941354
151002,114.18991929903699,22.287145000236233,19667.53046513594
151003,114.19119430985774,22.287559356187806,23471.708123520668
151004,114.19194254173132,22.288448014487972,4854.466210550956
151005,114.19236711877207,22.288226247288684,4782.9155629884535
151006,114.19026933916228,22.286492846237337,4657.237777736824
151007,114.19083481660893,22.286696904388005,4996.259444877646
151008,114.19102341145575,22.28611656718843,9978.703747598545
151009,114.191698770255,22.286532282738744,5078.789763973246
151010,114.192038586064,22.287152510288596,2656.9183090463475
151011,114.1926254638272,22.287683531139102,12063.550549232366
151012,114.19327736828401,22.28844966658936,3805.9120101019184
151013,114.19357374298826,22.289018581189232,3240.7478392138632
151014,114.1941155863669,22.289382632589714,5885.168036048605
151015,114.19475005299941,22.290038563940364,7443.287637715879
151017,114.19241022012397,22.286538304939782,5754.700670887401
151018,114.1924360340839,22.28607855783998,6344.4304732608925
151019,114.19439240417792,22.288011268840478,48636.106866878756
151021,114.19317577293597,22.285207956240477,45849.52555048896
151022,114.1913128599586,22.28567775373851,4963.9986916729695
151023,114.19178235842351,22.28559804078932,2498.6146116323116
151024,114.19246261987696,22.28559804078932,6202.28467829338
151025,114.19128894809393,22.285033201488666,4000.5963069272525
151026,114.19225127658271,22.285025279940292,7358.424084824825
151027,114.19138530530944,22.284498972288993,3712.361411640745
151028,114.19220946105146,22.2844959960399,6926.6086083951795
151029,114.19145249383902,22.283371234889728,7367.493003090091
151030,114.19199643426353,22.283918947539966,3699.1074932748916
151031,114.19243086530292,22.28352861824046,3298.774108931457
151032,114.19203856700742,22.283341266340244,4166.945985405573
151039,114.19264624682953,22.289321891838497,19669.75905171053
151040,114.19061010212417,22.289190824786832,60058.52818077941
151041,114.19386768830698,22.29066994453903,44881.02532726314
151043,114.19149358526343,22.28885328393728,8051.266671387854
152001,114.19629490987349,22.28634439164233,63363.62773752513
152002,114.20072689170846,22.287647624197085,45444.99945262306
152004,114.19406723108878,22.283253671341214,96888.46697471877
152005,114.19637143123063,22.283385783345032,246537.39931411765
152007,114.19834711811181,22.28426942194441,54984.80655156581
152008,114.20065436470395,22.284108801698608,244372.14991476788
153003,114.19914784582205,22.292864336092766,12998.220445923822
153004,114.20103242264459,22.293567836093544,22463.21685814354
153005,114.20198670352673,22.293248153694265,16659.46120426974
153007,114.19578233413941,22.291531987040315,6563.162274915743
153008,114.19749823945858,22.292042373740664,11097.053702752622
153009,114.19758365566946,22.291526355191838,14399.88062938728
153010,114.1993107082067,22.292161838543105,12668.746282400614
153012,114.20077038070022,22.292169347044272,7966.622772558821
153013,114.20214917608293,22.29248330769531,9003.912386169857
153015,114.19606908220894,22.290729746541338,13326.508256699592
153016,114.19827312351198,22.291241152041998,16756.47741478923
153017,114.19957061393126,22.291368430143557,10194.226938797858
153018,114.20090353096975,22.291623537494594,9505.206339949578
153019,114.20229058450622,22.291901582945655,10180.622440973431
153021,114.19628400213689,22.28999223054131,7823.776337290885
153022,114.19768098541999,22.290273888343187,14932.729246640574
153027,114.20103048732079,22.291102348344893,9349.491917479672
153028,114.20116059387354,22.2905827198452,4760.540199038006
153029,114.20246889094602,22.291168893496724,15384.326530945185
153033,114.19642015194137,22.28940147914165,5538.728829918547
153034,114.1978186069368,22.289693001392727,10995.925102598401
153037,114.19960458909293,22.289977262994128,5301.684176806995
153038,114.20021225827955,22.290461114594446,8101.291576414513
153039,114.20040554716743,22.289528133294954,3162.6675666234346
153040,114.20099129437787,22.29008528609483,10255.19100766225
153041,114.20237889751368,22.290087396147165,24032.516000748612
153043,114.19654963145769,22.288862061891543,5658.487153784419
153044,114.19727897848429,22.289231205592436,1445.4762729192855
153045,114.19732866454952,22.289018397542556,1560.3077987799577
153046,114.19783258084354,22.28929578569268,2285.930659598953
153047,114.19848765988169,22.28928408024378,5730.790605041974
153048,114.19725513936933,22.288773635392594,2446.820954767758
153049,114.19973891880869,22.289415481294064,8699.886229233978
153050,114.19968905053005,22.288693188396785,98352.55647543422
153051,114.19522091246671,22.290785027789916,4768.213683889616
153052,114.19604532583588,22.28831663319174,37182.54184491952
153053,114.19884823195864,22.28988545689343,5473.717957446134
153054,114.19905598020404,22.289885398143785,4187.417852090886
153055,114.19944957010688,22.290611243293746,7953.460551645217
153056,114.19637323108392,22.292283288340737,29278.02347934714
158001,114.22103036607348,22.27028836556267,5688517.436275401
211005,114.1693631381261,22.30484117776311,6647.898433320286
211006,114.16984116022167,22.30482144911351,5606.277892183625
211007,114.17035257066026,22.30456776921404,5215.936375868772
211008,114.1708479646904,22.30478995321443,5096.171273750952
211009,114.17137718245249,22.304811967464808,5728.565197762426
211010,114.16841136763355,22.303815580362482,6914.98115307072
211011,114.16893300161627,22.303653072013194,6595.302415024382
211012,114.16944524076638,22.30368639766361,6467.352726934581
211013,114.16993486470022,22.30371802186401,6036.990938080191
211014,114.17042127814912,22.3037485242644,6406.120229228348
211015,114.17089032685867,22.30377958476479,5598.76951670186
211016,114.17142983415994,22.30362213826556,7860.25333503202
211017,114.16852205283351,22.301860732063055,22125.51071725967
211018,114.17013464385764,22.3006554027638,174384.53576805987
211019,114.16893777978035,22.29901699811522,14389.027875713227
211020,114.16843322034505,22.29709260191364,76642.04530436343
211021,114.16699200729491,22.295076981115926,31417.13531762327
211022,114.17043857881174,22.297536690116697,23764.527159139896
211023,114.17130950961085,22.29758590796725,9690.598474727996
211024,114.17188029302129,22.29732527426828,11724.358627613996
211027,114.17085595624651,22.29545137666787,15180.622626781225
211028,114.17174299505223,22.295991835218416,10739.248536103045
211029,114.17181444673585,22.295152269268783,10390.655517645355
211030,114.16810237287888,22.304638481711706,29800.824114571937
211031,114.16887271086685,22.30452170151281,3751.9030030196445
211032,114.16983301588165,22.295730693566917,20183.96164167437
211033,114.16946376155923,22.29713327281611,19782.00264624389
211034,114.16782070149196,22.299917391613644,28362.470473149373
212001,114.17188626366615,22.304866038615028,7702.689211067633
212002,114.1727867016971,22.304650060516604,25583.12955708572
212003,114.17585462948071,22.30467211936857,174561.07164071724
212004,114.17261979294473,22.30367776256628,14065.693716689615
212005,114.17262956787009,22.303008079466544,12372.013793531445
212007,114.17607082765596,22.302674559118824,26061.48313802784
212008,114.17375210348499,22.301925275967914,19471.890597051457
212010,114.17606140266614,22.30193885436983,5500.065250172916
212011,114.17584966872928,22.30140604206984,11097.5786075103
212012,114.17438694972728,22.30071208446882,11616.938262984631
212013,114.17267424525636,22.300005989168273,12945.369745277425
212014,114.17381711469167,22.30011492841862,3551.239524874537
212015,114.17564738075308,22.30065255622013,9725.855170718827
212016,114.17282340114288,22.299195499868784,15607.526893063108
212017,114.1746950719257,22.299718155969472,26003.538512100447
212018,114.17291819820412,22.29858197606913,9402.343662102037
212019,114.17531740028664,22.299281586069746,16015.688889855144
212020,114.17265407040844,22.297943037268347,7164.472425903907
212021,114.17502939862945,22.302081647569253,12180.428880494821
212022,114.17336625595364,22.301011228719126,24806.08424411302
